English,Kannada
ashriteshu,ಆಶ್ರಿತೇಷು
prastabhoomiya,ಪ್ರಸ್ತಭೂಮಿಯ
manewad,ಮನೆವಾಡ್
vihwala,ವಿಹ್ವಲ
bhavaneyalla,ಭಾವನೆಯಲ್ಲ
sarkozy,ಸರ್ಕೋಜಿ
nangelli,ನಂಗೆಲ್ಲಿ
pariganisalagta,ಪರಿಗಣಿಸಲಾಗ್ತಾ
padedukollabaaradendare,ಪಡೆದುಕೊಳ್ಳಬಾರದೆಂದರೆ
tantragalenu,ತಂತ್ರಗಳೇನು
kooguta,ಕೂಗುತ
sangrahavannashte,ಸಂಗ್ರಹವನ್ನಷ್ಟೇ
nandadindave,ನಂದದಿಂದವೆ
jinapage,ಜಿನಪಗೆ
marukalisakoodadu,ಮರುಕಳಿಸಕೂಡದು
kulavennuvudu,ಕುಲವೆನ್ನುವುದು
aitak,ಐಟಕ್
lingaratigalu,ಲಿಂಗರತಿಗಳು
horadiri,ಹೋರಾಡಿರಿ
ottaayada,ಒತ್ತಾಯದ
salavendu,ಸಲವೆಂದು
chooruchooraadantaayitu,ಚೂರುಚೂರಾದಂತಾಯಿತು
dhuradinde,ಧುರದಿಂದೆ
hadeyutta,ಹಡೆಯುತ್ತಾ
bandhubalagavellava,ಬಂಧುಬಳಗವೆಲ್ಲವ
mottadantiruva,ಮೊತ್ತದಂತಿರುವ
shaantanaagu,ಶಾಂತನಾಗು
kainalliyaadru,ಕೈನಲ್ಲಿಯಾದ್ರೂ
badjarigarh,ಬಡ್ಜರಿಗಾರ್
maratigaralli,ಮರಾಟಿಗರಲ್ಲಿ
subhradagolisalu,ಸುಭ್ರದಗೊಳಿಸಲು
pradarshisuvallina,ಪ್ರದರ್ಶಿಸುವಲ್ಲಿನ
hapifathers,ಹ್ಯಾಪಿಫಾದರ್ಸ್
saripadisuttaaro,ಸರಿಪಡಿಸುತ್ತಾರೊ
parvatake,ಪರ್ವತಕೆ
namavisheshana,ನಾಮವಿಶೇಷಣ
aavartakoshtakadalli,ಆವರ್ತಕೋಷ್ಟಕದಲ್ಲಿ
bahusankhyaru,ಬಹುಸಂಖ್ಯಾರು
sibigintaloo,ಸಿಬಿಗಿಂತಲೂ
